Id.;Título;Autor;Fecha;Periódico / institución;Resumen;Lugar;Demanda;Actor demandante;Actor demandado;Actor Mediador;Otro actor;Acción conflictiva;evento nuevo;Tipo de evento conflictivo;Sector demandante;Sector demandado;Sector mediador;Sector otro actor;Escala del conflicto;Episodio conflictivo;Campo de conflicto;Región;Municipio;Cuenca, Fuente o cuerpo de agua;Lugar para georeferencia;Latitud;Longitud;Texto completo;observaciones
1382;Inspeccionan construcción de aducción a Sacaba;redaccion central;26/5/19;los tiempos;El alcalde de Sacaba, Humberto Sánchez, en coordinación con dirigentes de organizaciones sociales, verificó ayer los trabajos que se realizan en la construcción de la aducción I, que permitirá trasladar agua de la represa de Misicuni a ese municipio.;sacaba;replanteo o posibles modificaciones en la implementación de los dos tanques de almacenamiento;Alcalde Sacaba y dirigentes de organizaciones sociales;empresa constructora;;;modificaciones en los tanques de almacenamiento;expediente;Implementación de proyecto;Gob municipal;Construcción;;;Acuerdo;Misicuni Distribución;Reproducción social;Trópico;Sacaba;;sacaba;;;Link;
1383;Misicuni desfogará mil l/s de agua por siete meses;Cristina Cotari;27/5/19;Los tiempos;La Empresa Misicuni comenzó con el plan de desfogue de mil litros por segundo de agua de la represa con el fin de evitar un rebalse, informó el presidente, Jorge Alvarado.;Cochabamba;Construccion de ductos por parte de los municipios;presidente de Misicuni;;;;falta de ductos en los mnicipios;expediente;Implementación de proyecto;Empresa pública;Gob municipal;;;En ciernes;Misicuni Distribución;Reproducción social;Departamento;Cochabamba;;Misicuni;;;Link;
1384;Misicuni desfoga agua directo al río sin pasar por la hidroeléctrica;Next - Cristina Cotari;28/5/19;Los tiempos;La Empresa Misicuni desfoga 1.000 litros de agua por segundo directamente al río Chijllawiri sin pasar por la hidroeléctrica como una medida para evitar que la represa rebalse. También  por la falta de ductos para dotar de este recurso al eje metropolitano. ;Cochabamba;construccion de ductos para evitar revalse de aguas;vecinos;municipios;;;desfogue de agua para evitar rebalse de represa;expediente;Implementación de proyecto;Sociedad civil;Aut. Dptal. y Mpal.;;;En ciernes;Misicuni Distribución;Reproducción social;Departamento;Cochabamba;;Misicuni;;;Link;
1385;"Semapa trabajará en la conexión de acometidas en la ciudad; anuncian cortes de agua";Los Tiempos Digital;29/5/19;Los tiempos;SEMAPA comenzará este viernes con la conexión a la red principal de agua potable, desde la avenida Heroínas hasta la calle Ladislao Cabrera, en la ciudad de Cochabamba.;Cochabamba;mejora del servicio de distribución de agua potable;poblacion;Semapa;;;fugas en las redes de agua;expediente;Demanda de agua potable;Sociedad civil;Empresa pública;;;En ciernes;Semapa Gestión;Reproducción social;Departamento;Cochabamba;;Cochabamba;;;Link;
1386;Sólo ejecutan 1 de 3 ductos para traer agua de Misicuni al eje metropolitano;Redaccion Central;29/5/19;Los tiempos;La falta de presupuesto y las denuncias de invasión a propiedades frenan la construcción de dos de los tres ductos para trasladar agua de la represa de Misicuni a cinco municipios del eje metropolitano.;Cochabamba;Construccion de ductos para dotacion de agua;Misicuni;Gobernacion;;;Falta de Abastecimiento;expediente;Implementación de proyecto;Empresa pública;Aut. Dptal. y Mpal.;;;Manifiesto/ confrontación;Misicuni Distribución;Reproducción social;Departamento;Cochabamba;;Misicuni;;;Link;
1387;Regantes dan buen uso a desfogue de Misicuni;redaccion central;30/5/19;los tiempos;Los regantes de Quillacollo y Colcapirhua aprovechan con mayor eficiencia que el año pasado el agua que desfoga Misicuni para que la represa no rebalse por la falta de ductos para la distribución a los barrios y de un vertedero;;gnenerar un plan de riego para que la escorrentía no se vuelva un desfogue. “Es una alerta para que ni una gota llegue al Rocha”;Fernando Salazar investigador y docente de la Universidad Mayor de San Simón (UMSS);regantes;;;contaminacion de aguas de desfoque;expediente;Contaminación de aguas;Universidad;Regantes;;;Análisis/ propuesta;Misicuni Distribución;Reproducción social;Valle Bajo;Varios;;valle bajo;;;Link;
1388;Semapa inicia refacción de la red principal de agua potable en la avenida Oquendo;Los Tiempos Digital;31/5/19;Los tiempos;Personal del Servicio Municipal de Agua Potable y Alcantarillado Sanitario (Semapa) comenzó hoy con las obras de refracción de la red principal de agua potable en la avenida Oquendo;Cochabamba;Mejora del servicio tacion de agua;Poblacion;Semapa;;;deterioro de la red de distribucion ;expediente;Demanda de agua potable;Sociedad civil;Empresa Pública;;;En ciernes;Semapa Gestión;Reproducción social;Metropolitana;Cochabamba;;Av. Oquendo;;;Link;
1389;Cuatro municipios del valle entierran la basura en ríos;Next - Lorena Amurrio Montes;2/6/19;Los tiempos;El mal olor que emana de la mayoría de los botaderos habilitados en el valle alto es tan desagradable que es difícil saber si sólo es por la descomposición de la basura o por la presencia de cuerpos.;valle alto;reubicacion de botaderos;Gobernacion;Alcaldias de Tarata, Punata y Arani;;;Contaminacion ambiental por botaderos;expediente;Contaminación de aguas;Gob Departamental;Gob Municipal;;;En ciernes;Vertederos;Ecológico / ambiental;Valle Alto;Cochabamba;;Tarata - Punata - Arani;;;Link;
1390;Ambientalistas: Gobernación descuida control de botaderos;Walter Tapia Callao;3/6/19;Los tiempos;Los ambientalistas Jaime Ponce y Gregori Paz lamentaron el abandono y la falta de control en el cumplimiento de las normas ambientales, enmarcadas en la Ley de Medio Ambiente (Ley 1333) y su reglamentación, por parte de la Gobernación de Cochabamba hacia los municipios que no manejan adecuadamente la basura.;Cochabamba;control en el cumplimiento de normas ambientales de botaderos;ambientalistas;Gob Dptal.;;;incumplimiento de normas ambientales ;expediente;Normativa y reglamentación;Sociedad civil;Gob departamental;;;En ciernes;Vertederos;Institucional normativo;Departamento;Cochabamba;;Cochabamba;;;Link;
1391;Sacaba comenzó la ampliación de redes principales de agua;Redaccion Central;3/6/19;Los tiempos;El municipio de Sacaba comenzó el sábado la construcción de las redes primarias de agua potable, como complemento del proyecto de aducción Misicuni-Sacaba, que se pretende concluir hasta 2020 para garantizar la dotación de agua para las familias sacabeñas.;sacaba;construccion de redes primarias de agua;poblacion;municipio;;;;expediente;Demanda de agua potable;Sociedad civil;Gob municipal;;;En ciernes;Misicuni Distribución;Reproducción social;Trópico;Sacaba;;Sacaba;;;Link;
1392;Contaminación del canal Valverde moviliza a vecinos del D-4;Lorena Amurrio Montes;4/6/19;Los tiempos;Vecinos del Distrito 4 protestaron hoy junto al canal Valverde por la falta de acciones para detener la descarga de aguas residuales.;Cochabamba;detener la descarga de aguas residuales;Vecinos;semapa;;;Contaminacion ambiental;si;Contaminación de aguas;Org. Vecinal;Empresa pública;;;Manifiesto/ confrontación;Canal Valverde;Ecológico / ambiental;Metropolitana;Cochabamba;;Distrito 4;;;Link;
1393;El primer tramo del ducto de Misicuni tiene 40% de avance;Redaccion Central;4/6/19;Los tiempos;La construcción del ducto 2 de Misicuni, Jove Rancho-Colcapirhua-Cercado, tiene cuatro frentes de trabajo y un 40 por ciento de avance.;Cochabamba;Dotacion de agua;asambleísta Eduardo Sarmiento;municipios de Colcapirua;;;obras inconclusas en el tramo II;expediente;Demanda de agua potable;Aut. Dptal. y Mpal.;Gob municipal;;;En ciernes;Misicuni Distribución;Reproducción social;Departamento;Cochabamba;;Misicuni;;;Link;
1394;China Zhejiang construye ducto de Misicuni a Sacaba;Laura Manzaneda;9/6/19;Los tiempos;La empresa china Zhejiang Provincial No.1 se adjudicó la construcción de la aducción que llevará agua de Misicuni a Sacaba, por 222 millones de bolivianos. Todo el proceso de licitación estuvo a cargo del Ministerio de Agua y Medio Ambiente.;Cochabamba;Construccion de ductos para dotacion de agua;ministerio de agua y medio ambiente;empresa china Zhejiang;;;falta de ductos para la conduccion de agua de Misicuni;expediente;implementación de proyecto;Gob central ejecutivo;Construcción;;;En ciernes;Misicuni Distribución;Reproducción social;Departamento;Cochabamba;;Misicuni - Sacaba;;;Link;
1395;Aducción Jove Rancho-Colcapirhua con 52 % de avance;Walter Tapia Callao;12/6/19;los tiempos;La construcción del primer tramo del ducto Jove Rancho-Colcapirhua para llevar agua a la zona sur alcanzó el 52 por ciento de avance en obra y 62 por ciento en la ejecución financiera,  informó Raúl Solares, representante legal del consorcio que se adjudicó la obra.;Jove Rancho-Colcapirhua;inspeccion avance de obra;Javier Bellot residente de la Federación de Entidades Empresariales,;empresa constructora;;;;expediente;Implementación de proyecto;Otros;;;;Acuerdo;Misicuni Distribución;;Valle Bajo;Colcapirhua;;Jove Rancho-Colcapirhua;;;Link;
1396;El 95% de botaderos funciona sin tener licencia ambiental;Redacción Central;12/6/19;Los tiempos;El 95 por ciento de los botaderos de las cinco regiones del departamento funcionan sin tener licencia ambiental, según el último informe que la Secretaría de la Madre Tierra de la Gobernación emitió al respecto, informó ayer el asambleísta departamental Freddy Gonzales.;Cochabamba;Licencia ambiental de botaderos;asambleísta departamental Freddy Gonzales;Gob Dptal.;;;Contaminacion ambiental;expediente;Contaminación de aguas;Aut. Dptal. y Mpal.;Gob departamental;;;En ciernes;Vertederos;Ecológico / ambiental;Metropolitana;Cochabamba;;Cochabamba;;;Link;
1397;"Aducción a Colcapirhua con 52% de avance; asambleísta ve contradicciones en datos";Walter Tapia Callao;13/6/19;los tiempos;La construcción del ducto 2 de la planta de Misicuni de Jove Rancho-Colcapirhua-Cercado hacia la zona sur alcanzó un 52% de avance en la obra y un 62 % en la ejecución financiera, según informó el representante legal de la Asociación Accidental Eccsa & Asociados, Raúl Solares. l porcentaje de avance fue cuestionado por el asambleísta de oposición Eduardo Sarmientos, quien señaló que la empresa se adjudicó la aducción en mayo y hace una semana se habló de un avance menor al 40%.;Jove Rancho-Colcapirhua;Constatacion del grado de avance de obras;asambleísta Eduardo Sarmientos;Raúl Solares Asociación Accidental Eccsa & Asociados;;Federacion de empresarios, Gobernacion, camara de constructores;Avance en las obras;expediente;Implementación de proyecto;Aut. Dptal. y Mpal.;Construcción;;;Manifiesto/ confrontación;Misicuni Distribución;Reproducción social;Valle Bajo;Colcapirhua;;Jove Rancho-Colcapirhua;;;Link;
1398;Denuncian retraso en tanques para dotar agua de Misicuni a Colcapirhua y la ciudad;Lorena Amurrio Montes;14/6/19;Los tiempos;La construcción de cinco tanques para almacenar agua de Misicuni tiene demora, según el asambleísta demócrata Eduardo Sarmiento. Las obras debían entregarse el 10 de junio de este año, indica el contrato, pero una inspección verificó que siguen en construcción;Cochabamba;finalizacion de la construccion de tanques;asambleísta Eduardo Sarmiento;Gobernacion;;;No se finalizaron lconstruccion de tanques;expediente;Implementación de proyecto;Aut. Dptal. y Mpal.;Gob departamental;;;En ciernes;Misicuni Distribución;Reproducción social;Metropolitana;Cochabamba;;Jove Rancho- Colcapirhua;;;Link;
1399;"Mayoría de los comodatos de Alalay incumple norma; piden la reversión";redaccion central;15/6/19;los tiempos;La mayoría de los  14  comodatos en la laguna Alalay incumple con las condiciones para su asentamiento, por lo que la Contraloría realiza una auditoría de las cesiones y pidió un informe a la Alcaldía, según datos del Concejo Municipal y la Secretaría de Desarrollo Sustentable.;laguna alalay;conocer  estados de los comodatos al borde de la laguna Alalay;Contraloria;municipio;;;mal uso de las cesiones que genera contaminación en la laguna;si;Contaminación de aguas;Poder judicial;Gob municipal;;;Manifiesto/ confrontación;Laguna Alalay;Ecológico / ambiental;Metropolitana;Cochabamba;;Laguna Alalay;;;Link;
1400;Aprueban fondos para cerrar botaderos cerca de los ríos en el trópico;Redaccion Central;20/6/19;Los tiempos;Ante los ríos de basura en cuatro de cinco municipios del trópico, la Gobernación consiguió un fondo de preinversión para un estudio de cierre técnico de los botaderos y educación ambiental, informó ayer el director de la mancomunidad de municipio del tropico Cochabamba, Víctor Cadima.;chapare;estudio tecnico para cierre de botaderos cercanos a rios;Gobernacion;Gob Municipal;;Víctor Cadima director de la mancomunidad de municipios del tropico;Contaminacion de aguas de los rios;expediente;Contaminación de aguas;Gob Departamental;Gob Municipal;;;En ciernes;Vertederos;Ecológico / ambiental;Trópico;Varios;;Tropico de Cochabamba;;;Link;
1401;Cortan suministro de agua en el centro de Cochabamba por ruptura de alcantarilla;Abi;21/6/19;Los tiempos;El gerente de SEMAPA, Deibi Claros, informó que la ruptura de una tubería entre la avenida Ayacucho entre Heroínas y Colombia, dejó sin la provisión de agua potable a las viviendas del centro de la ciudad;Cochabamba;Reposicion de suministro de  agua;Vecinos;Semapa;;;Corte de suministro de agua;expediente;Demanda de agua potable;Sociedad civil;Empresa pública;;;En ciernes;Semapa Gestión;Reproducción social;Metropolitana;Cochabamba;;cercado;;;Link;
1402;Hay constantes fugas en el centro y la renovación de la red está en proyecto;redaccion central;22/6/19;los tiempos;En una semana se presentaron cuatro fugas en la red de agua potable del casco viejo de la ciudad. A pesar de los constantes problemas con esta vieja red, su renovación es lejana porque recién se remitió el proyecto al Ministerio de Medio Ambiente y Agua para su aprobación y todavía se debe buscar financiamiento.;;dar prioridad a la renovación de las redes;Gonzalo Maldonado El representante de Asieme;municipio;;;desperdicio de agua potable por mal estado de las redes;expediente;Implementación de proyecto;Otros;Gob municipal;;;Manifiesto/ confrontación;Semapa Gestión;Reproducción social;Metropolitana;Cochabamba;;cercado;;;Link;
1403;Semapa prevé concretar proyecto de renovación de red este año;Giuliana Jaldín;26/6/19;Los tiempos;El problema del colapso de las alcantarillas y las fugas de agua son constantes en Cochabamba. El centro de la ciudad es el sector donde más casos se presentan.;Cochabamba;financiamiento para concretar proyecto renovacion del sistema potable;semapa;Ministerio de Medio Ambiente y Agua;;;Colapso de alcantarillas y fuga de agua potable;expediente;Implementación de proyecto;Empresa pública;Gob central ejecutivo;;;En ciernes;Semapa Gestión;Reproducción social;Metropolitana;Cochabamba;;Cochabamba;;;Link;
1404;Quillacollo al borde de la bancarrota por tres débitos y baja recaudación;Cristina Cotari;27/6/19;Los tiempos;La Alcaldía de Quillacollo está a punto de declararse en “bancarrota” luego de ser notificada con el débito de 60 millones de bolivianos por tres obras mal ejecutadas y tras detectar una caída en la recaudación de impuestos, informó ayer el secretario general del municipio, José Terán;Cochabamba;incentivar a los contribuyentes para que cumplan con sus  obligaciones para  superar el  déficit financiero y asi ejecutar el POA;secretario  Administrativo y Financiero, Jhonny  Medrano;contribuyentes ;;;Mala Gestion que influye en implementacion de obras de agua potable y servicios  basicos;si;Normativa y reglamentación;Gob municipal;Sociedad civil;;;En ciernes;Plan Maestro Quillacollo;Institucional normativo;Valle Bajo;Quillacollo;;Quillacollo;;;Link;
1405;Semapa presenta proyecto observado, pero baja el precio;Lorena Amurrio Montes;2/7/19;los tiempos;SEMAPA volvió a presentar el proyecto observado por Emagua, entidad del Ministerio de Medio Ambiente, para la renovación de la red de agua en 2016, cuando se perdió el financiamiento de 45 millones de bolivianos, pero esta vez con un precio menor. emapa solicitó ahora  20 millones de bolivianos para la renovación a la Entidad Ejecutora de Medio Ambiente y Agua (Emagua), informó el gerente de la empresa, Deybi Vidal. Son 40 millones menos que el primer proyecto que contemplaba alcantarillado;cochabamba;Financiamiento para la renovacion de redes de agua ´potable;Gerente de Semapa;Entidad Ejecutora de Medio Ambiente y Agua (Emagua);;;desperdicio de agua potable por mal estado de las redes;expediente;Implementación de proyecto;Empresa pública;Gob central ejecutivo;;;Manifiesto/ confrontación;Semapa Gestión;Reproducción social;Metropolitana;Cochabamba;;cercado;;;Link;
1406;Alertan que dos ríos en Quillacollo están por convertirse en botaderos;Cristina Cotari;3/7/19;Los tiempos;Las orillas de los ríos Chocaya y Chijllawiri en el municipio de Quillacollo están a punto de convertirse en vertederos de basura, informó este miércoles el asambleísta departamental Ronald Equilea (MAS);Quillacollo;Tomar acciones para salvar los rios;Poblacion;Alcaldia de Quillacollo;;;Contaminacion de rios por basura;expediente;Contaminación de aguas;Sociedad civil;Gob Municipal;;;En ciernes;Vertederos;Ecológico / ambiental;Departamento;Quillacollo;;Quillacollo;;;Link;
1407;Semapa corta alcantarillado a deudores de 300 facturas;Katiuska Vásquez;4/7/19;Los tiempos;Ante la mora elevada, Semapa realiza luego de hacer la notificación el corte de agua y hasta de alcantarillado, porque hay usuarios que deben 300, 200 y 180 facturas,  informó ayer el gerente comercial, Luis Prudencio.;Cochabamba;Cobro de facturas en mora;Semapa;Poblacion;;;Mora elevada de facturas;Si;Tarifas y costos;Empresa pública;Sociedad civil;;;En ciernes;Semapa alcantarillado;Institucional normativo;Departamento;Cochabamba;;Semapa;;;Link;
1408;Aguas negras se duplicarán, 3 ríos están contaminados y plan demora;Lorena Amurrio Montes;7/7/19;Los tiempos;Las aguas negras se duplicarán, en la región metropolitana, de 1.682 litros por segundo (2012) a 2.162 (2021), 2.485 (2026) a 3.172 (2036), alerta el plan maestro de servicios básicos, pero sólo dos de siete municipios implementan plantas de tratamiento. El resto, que son del valle bajo, contaminan tres ríos;Region Metropolitana;Exigen planta de tratamiento;Poblacion;Alcaldias y Gobernacion ;;;Contaminacion de rios con aguas servidas;No;Contaminación de aguas;Sociedad civil;Aut. Dptal. y Mpal.;;;Manifiesto/ confrontación;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Varios;;Sipe Sipe, Vinto, Colcapirhua, Quillacollo;;;Link;
1409;Vecinos de Colcapirhua impiden el inicio del plan de saneamiento;Lorena Amurrio Montes;12/7/19;los tiempos;El intento de iniciar el plan de saneamiento básico en el municipio de Colcapirhua movilizó ayer a los vecinos de Esquilán Grande, Chico y Chijllawiri, que rechazan que el proyecto esté en su zona. El proyecto uno de los cuatro que tienen un financiamiento de 140 millones de bolivianos asegurados de la Cooperación Francesa de Desarrollo.;colcapirihua;socializacion del plan de saneamiento basico y reubicacion de la planta;pobladores de Esquilan;Municipio;;;planta de tratamiento en medio de un area agricola;si;Contaminación de aguas;Org. Vecinal;Gob municipal;;;Negociación/ pausa;Planta Colcapirhua;Ecológico / ambiental;Valle Bajo;Colcapirhua;;Esquilan Colcapirua;;;Link;
1410;Semapa cumple 52 años con cobertura estancada en 60%;Walter Tapia Callao;13/7/19;Los tiempos;La cobertura de agua potable en el municipio de Cochabamba bordea el 60 por ciento, afirmaron el gerente de Semapa, Deybi Vidal, y el alcalde suplente, Iván Tellería, en la conmemoración de los 52 años de vida del Servicio Municipal de Agua Potable y Alcantarillado (Semapa), ayer;Cochabamba;Cobertura de 100 por ciento de la poblacion;Poblacion cochabambina;Alcaldia;;Semapa;No existen avances en la cobertura;expediente;Implementación de proyecto;Sociedad civil;Gob municipal;;Empresa Publica;;Semapa Gestión;Reproducción social;Departamento;Cochabamba;;Semapa;;;Link;
1411;Semapa echa 150 l/s por falla en diseño de planta;Walter Tapia Callao;16/7/19;Los tiempos;El Servicio Municipal de Agua Potable y Alcantarillado (Semapa) desecha 150 litros por segundo por presuntas fallas en el diseño de la nueva planta de tratamiento que se construyó en la gestión del gerente Gamal Serhan. La misma no cuenta con cárcamo de reciclaje, indicaron los miembros del sindicato de trabajadores de la empresa descentralizada.;Semapa;Auditoría técnica a la construcción de la planta potabilizadora;Directorio de Semapa;Gerencia de Semapa;;Misicuni;Desperdicio de agua por presuntas fallas;expediente;Normativa y reglamentación;Empresa pública;Empresa pública;;;En ciernes;Semapa Gestión;Institucional normativo;Departamento;Cochabamba;;Semapa;;;Link;
1412;Semapa auditará planta de Cala Cala por fallas;Redaccion Central;17/7/19;Los tiempos;Semapa ejecutará en agosto una auditoría técnica de la ampliación de planta de tratamiento de agua de Cala Cala para determinar si las fallas que presenta se debe al diseño o la construcción, informó el gerente Deybi Vidal;Semapa;Trabajadores de Semapa exigenuna investigación;Semapa;Semapa;;;Fallas en la planta de Cala Cala;expediente;Normativa y reglamentación;Empresa pública;Empresa pública;;;Acuerdo;Semapa Gestión;Institucional normativo;Departamento;Cochabamba;;Semapa;;;Link;
1413;Francia rechaza financiar canales de riego de Misicuni;Redaccion Central;22/7/19;Los tiempos;La Agencia de Cooperación Francesa rechazó financiar los canales que debían llevar agua para riego de la presa de Misicuni a los cultivos del valle bajo y central. La determinación fue tomada hace ocho meses y, desde la fecha, el Ministerio de Agua no puede encontrar otra fuente de financiamiento.;Valle Bajo Central;Fuente de financiamiento;Gobernacion;Ayuda Internacional;;;Cooperacion francesa rechaza financiamiento;expediente;Implementación de proyecto;Gob departamental;Cooperación internacional;;;Negociación/ pausa;Misicuni Distribución;Reproducción social;Departamento;Varios;;Misicuni;;;Link;
1414;Misicuni vuelve a desechar miles de litros de agua al río Huayculi;Redaccion Central;27/7/19;Los tiempos;"El asambleísta departamental Eduardo Sarmiento (Demócrata) verificó ayer que nuevamente miles de litros de agua apta para riego del Complejo Múltiple Misicuni se desperdician en el valle bajo, según la inspección por los ríos Chijllawiri y Huayculi.  explicó que se evidenció que ""si bien Misicuni entrega a las comunidades agua gratis para el riego, también, existe agua que se desperdicia"". A ello se suma que muchos litros ""llegan hasta las aguas negras y putrefactas del rio Rocha""";Valle Bajo;Utilizar para la poblacion el agua que desecha Misicuni;Asambleista democrata;Misicuni;;;Desperdicio de agua  travez del rio Huayculi;expediente;Implementación de proyecto;Aut. Dptal. y Mpal.;Empresa pública;;;Manifiesto/ confrontación;Misicuni Distribución;Reproducción social;Departamento;Cochabamba;;Misicuni;;;Link;
1415;Contaminación del río Rocha es “fuerte”, según un monitero;redaccion central;28/7/19;los tiempos;El coordinador general de la fundación Gaia Pacha, Rodrigo Meruvia, informó ayer que el agua del río Rocha se encuentra “fuertemente contaminada”, tras realizar un monitoreo biológico.;Rio Rocha;reforzar  campañas de sensibilización e incentivar la conservación del Rio Rocha;Rodrigo Meruvia El coordinador general de la fundación Gaia Pacha;poblacion;;;Contaminación de aguas del Rio Rocha;si;Contaminación de aguas;Organizaciones no gubernamentales;Sociedad civil;;;Análisis/ propuesta;Rio Rocha Contaminación;Ecológico / ambiental;Metropolitana;Cochabamba;;Rio Rocha;;;Link;
1416;6 exalcaldes del MAS piden que juicio por el plan maestro prescriba;Redaccion Central;6/8/19;Los tiempos;Seis exalcaldes del MAS, que administraron Quillacollo de 2006 a  2015, solicitan que el juicio por la mala ejecución del plan maestro de agua y alcantarillado prescriba para omitir un daño económico de 59 millones de bolivianos.;Quillacollo;Solicitan prescripcion del juicio por mala ejecucion del plan maestro;Exalcaldes del MAS;Alcaldia de Quillacollo;;Ministerio de Medio Ambiente;mala ejecución del plan maestro de agua y alcantarilladoincumplimiento de proyectos;Si;Implementación de proyecto;Aut. Dptal. y Mpal.;Gob Municipal;;;Negociación/ pausa;Plan Maestro Quillacollo;Reproducción social;Departamento;Quillacollo;;Quillacollo;;;Link;
1417;Arranca juicio contra seis exalcaldes del MAS por el plan maestro de Quillacollo;Redacción Central;8/8/19;Los tiempos; El Tribunal de Sentencia No. 1 de Quillacollo dio inicio este jueves al juicio oral en  contra de seis exalcaldes de Movimiento Al Socialismo (MAS) por el plan maestro de agua potable y alcantarillado;Quillacollo;Proceso por incumplimiento de deberes, de contrato y conducta antieconomica;Alcaldia;Exalcaldes del MAS;;Tribunal de Sentencia No. 1 de Quillacollo; Mala ejecución del plan y  obras inconclusas;No;Implementación de proyecto;Gob municipal;Aut. Dptal. y Mpal.;;;Manifiesto/ confrontación;Plan Maestro Quillacollo;Reproducción social;Departamento;Quillacollo;;Quillacollo;;;Link;
1418;Exalcaldes van a juicio por plan maestro hoy;Redacción Central;8/8/19;Los tiempos;La audiencia del juicio oral contra seis exalcaldes  del Movimiento Al Socialismo (MAS) de Quillacollo será hoy. El proceso se realiza por la mala ejecución del plan maestro de agua y alcantarillado que causó un daño económico de 59 millones;Quillacollo;Proceso por la mala ejecución del plan maestro de agua y alcantarillado ;Alcaldia;Exalcaldes del MAS;;Actual Alcalde de Quillacollo;Daño económico de 59 millones.;No;Implementación de proyecto;Gob municipal;Aut. Dptal. y Mpal.;;;Manifiesto/ confrontación;Plan Maestro Quillacollo;Reproducción social;Departamento;Quillacollo;;Quillacollo;;;Link;
1419;Enjuician a 6 exalcaldes del MAS por dos delitos del plan maestro;Redacción Central;9/8/19;Los tiempos;Seis exalcaldes del MAS serán enjuiciados por las obras inconclusas y el daño económico del plan maestro de agua y alcantarillado del municipio de Quillacollo, luego de que ayer los jueces Percy Cámara y Sonia Zabala, del Tribunal de Sentencia Penal Nº1, rechazaron la solicitud de prescripción de juicio oral;Quillacollo;Proceso por incumplimiento de deberes, de contrato y conducta antieconomica;Alcaldia;Exalcaldes del MAS;;;Delitos del plan maestro;No;Implementación de proyecto;Gob municipal;Aut. Dptal. y Mpal.;;;Manifiesto/ confrontación;Plan Maestro Quillacollo;Reproducción social;Departamento;Quillacollo;;Quillacollo;;;Link;
1420;Aprueban estudios para dos represas;Redaccion Central;10/8/19;Los tiempos;El Viceministerio de Riego entregó los estudios para los proyectos de dos represas en Laraty en el municipio de Sacaba;Sacaba;Construccion de represas en el municipio;Poblacion;Alcaldia;;Viceministerio de riego;conflictos por agua entre las comunidades.Conflictos por aguas en las comunidades;Si;Implementación de proyecto;Sociedad civil;Aut. Dptal. y Mpal.;;;En ciernes;Larati ARAP;Reproducción social;Departamento;Sacaba;;Sacaba;;;Link;
1421;Basura y huella urbana complican a 4 mil regantes de La Angostura;Cristina Cotari;11/8/19;Los tiempos;Cada vez es más difícil regar los cultivos del valle central de Cochabamba con la represa de La Angostura, debido al avance de la mancha urbana, los loteamientos, la basura y la vegetación crecida. El cambio de uso de suelos sin planificación, la falta de control y consciencia ambiental en Cercado, Tiquipaya, Colcapirhua, Quillacollo, Arbieto y Tolata preocupan a 4.800 familias de regantes, informó el primer vicepresidente de la Asociación de Usuarios del Sistema Nacional de Riego Nº1, Vladimir de la Barra.;Angostura;Colaboracion de Alcaldia y vecinos para la limpieza;Pobladores Valle Central;Alcaldias;;Vladimir de la Barra;Dificultad para regar cultivos;Si;Derecho de agua;Regantes;Gob Municipal;;;En ciernes;Angostura regantes;Reproducción social;Departamento;Varios;;Valle central;;;Link;
1422;Vecinos bloquean Albarrancho y exigen continuidad de 30 proyectos;Lucero Claros;12/8/19;los tiempos;Vecinos de las OTB, juntas vecinales y mancomunidades bloquean la planta de tratamiento de aguas residuales de Albarrancho exigiendo el cumplimiento de tres convenios a la Alcaldía. ;Albarrancho;cumplimiento de tres convenios  y ejecución de proyectos;vecinos de la OTBs;Municipio;;Nelo edrano presidente de la Coordinadora de Medio Ambiente y Salud Vecinal Agraria (Comasva);compensacion por efecto de la planta de albarrancho;si;Secuestro de aguas;Org. Vecinal;Gob municipal;;Org. Vecinal;Manifiesto/ confrontación;Albarrancho Planta;Ecológico / ambiental;Metropolitana;Cochabamba;;Albarrancho;;;Link;
1423;Albarrancho bloquea planta y logra obras;Redacción Central;13/8/19;Los tiempos;Tras un bloqueo a la planta de tratamiento de aguas servidas de Semapa en Albarrancho, la Coordinadora de Medio Ambiente y Salud Vecinal Agraria (Comasva) logró que la Alcaldía firme un nuevo acuerdo para garantizar la ejecución de proyectos de servicios;Albarrancho;Ejecución de proyectos de servicios.;Poblacion;Gob Municipal;;Comasva;Contaminacion de la planta de tratamiento;Si;Secuestro de aguas;Sociedad civil;Aut. Dptal. y Mpal.;;;Acuerdo;Albarrancho Planta;Reproducción social;Departamento;Cochabamba;;Albarrancho;;;Link;
1424;Más de 50 km de tuberías del plan maestro de Quillacollo están sin uso;Redaccion Central;18/8/19;Los tiempos;Más de 50 kilómetros de tuberías están enterrados y sin uso en Quillacollo como resultado del fallido plan maestro de agua y alcantarillado, que derivó en el enjuiciamiento de seis alcaldes del Movimiento Al Socialismo (MAS) que administraron el municipio de 2008 a 2015;Quillacollo;Resolver tema del plan maestro;Poblacion;Gob Municipal;;;Fallido plan maestro;si;Implementación de proyecto;Sociedad civil;Gob Municipal;;;Manifiesto/ confrontación;Plan Maestro Quillacollo;Reproducción social;Departamento;Quillacollo;;Quillacollo;;;Link;
